entry_time,exit_time,entry_price,exit_price,position_type,pnl,exit_type
2023-01-04 16:00:00,2023-01-06 16:00:00,1251.12,1263.6311999999998,long,125.11199999999917,止盈
2023-01-06 17:00:00,2023-01-09 04:00:00,1269.59,1314.0256499999998,short,-444.35649999999896,止损
2023-01-09 20:45:00,2023-01-10 09:30:00,1316.42,1329.5842,long,131.64199999999937,止盈
2023-01-12 18:45:00,2023-01-13 01:00:00,1425.81,1411.5519,short,142.58100000000013,止盈
2023-01-13 11:00:00,2023-01-13 20:45:00,1412.27,1426.3927,long,141.22700000000123,止盈
2023-01-15 12:00:00,2023-01-17 14:15:00,1538.86,1592.7200999999998,short,-538.6009999999987,止损
2023-01-20 17:15:00,2023-01-20 22:30:00,1591.58,1647.2852999999998,short,-557.0529999999985,止损
2023-01-21 19:00:00,2023-01-21 22:30:00,1668.88,1652.1912,short,166.88800000000128,止盈
2023-01-23 16:00:00,2023-01-24 14:30:00,1625.76,1609.5024,short,162.5759999999991,止盈
2023-01-25 22:30:00,2023-01-26 02:45:00,1626.56,1610.2944,short,162.6559999999995,止盈
2023-01-26 10:45:00,2023-01-26 13:15:00,1590.0,1605.9,long,159.0000000000009,止盈
2023-02-02 13:45:00,2023-02-04 22:30:00,1669.16,1685.8516000000002,long,166.91600000000108,止盈
2023-02-04 22:30:00,2023-02-05 03:30:00,1689.0,1672.11,short,168.900000000001,止盈
2023-02-07 16:15:00,2023-02-07 16:45:00,1624.39,1640.6339,long,162.4389999999994,止盈
2023-02-14 16:00:00,2023-02-15 20:00:00,1554.29,1608.69015,short,-544.0014999999994,止损
2023-02-17 14:15:00,2023-02-21 16:30:00,1672.56,1655.8344,short,167.25599999999986,止盈
2023-02-23 03:00:00,2023-02-23 06:30:00,1679.0,1662.21,short,167.89999999999964,止盈
2023-03-02 08:00:00,2023-03-03 02:45:00,1642.04,1584.5685999999998,long,-574.7140000000013,止损
2023-03-03 12:15:00,2023-03-03 14:00:00,1561.45,1577.0645,long,156.14499999999907,止盈
2023-03-04 18:00:00,2023-03-05 01:30:00,1557.1,1572.6709999999998,long,155.70999999999913,止盈
2023-03-09 14:15:00,2023-03-09 17:00:00,1546.45,1530.9855,short,154.64500000000044,止盈
2023-03-10 09:45:00,2023-03-10 12:00:00,1402.98,1388.9502,short,140.29800000000023,止盈
2023-03-11 10:30:00,2023-03-11 18:30:00,1428.93,1443.2193,long,142.89299999999912,止盈
2023-03-12 01:15:00,2023-03-12 14:15:00,1468.54,1453.8546,short,146.85400000000072,止盈
2023-03-13 16:30:00,2023-03-13 16:45:00,1646.86,1663.3285999999998,long,164.68599999999924,止盈
2023-03-15 17:15:00,2023-03-15 18:45:00,1622.9,1639.1290000000001,long,162.29000000000042,止盈
2023-03-16 01:00:00,2023-03-17 03:15:00,1646.89,1704.53115,short,-576.4114999999993,止损
2023-03-18 13:00:00,2023-03-18 23:30:00,1817.49,1753.8778499999999,long,-636.1215000000016,止损
2023-03-19 01:30:00,2023-03-19 06:45:00,1786.16,1768.2984000000001,short,178.61599999999953,止盈
2023-03-21 00:45:00,2023-03-21 06:00:00,1757.64,1740.0636000000002,short,175.7639999999992,止盈
2023-04-01 02:00:00,2023-04-01 03:30:00,1842.83,1824.4017,short,184.28300000000036,止盈
2023-04-03 13:45:00,2023-04-03 17:45:00,1822.35,1804.1264999999999,short,182.23500000000058,止盈
2023-04-03 21:00:00,2023-04-03 21:15:00,1768.27,1785.9527,long,176.82700000000068,止盈
2023-04-04 00:15:00,2023-04-04 13:00:00,1816.83,1880.4190499999997,short,-635.8904999999982,止损
2023-04-05 01:30:00,2023-04-05 12:30:00,1925.0,1905.75,short,192.5,止盈
2023-04-06 10:45:00,2023-04-06 15:30:00,1857.58,1876.1558,long,185.75800000000072,止盈
2023-04-10 04:15:00,2023-04-11 02:15:00,1862.56,1927.7495999999999,short,-651.8959999999993,止损
2023-04-11 17:00:00,2023-04-12 14:30:00,1895.26,1914.2126,long,189.52600000000075,止盈
2023-04-13 10:45:00,2023-04-14 01:15:00,1992.92,2062.6722,short,-697.521999999999,止损
2023-04-14 18:15:00,2023-04-14 21:00:00,2083.52,2104.3552,long,208.35199999999986,止盈
2023-04-15 00:45:00,2023-04-17 11:45:00,2091.07,2070.1593000000003,short,209.10699999999906,止盈
2023-04-17 14:15:00,2023-04-18 01:15:00,2076.71,2055.9429,short,207.67100000000028,止盈
2023-04-18 13:45:00,2023-04-18 15:15:00,2114.9,2093.751,short,211.48999999999887,止盈
2023-04-19 11:00:00,2023-04-19 15:00:00,1970.87,1990.5786999999998,long,197.08699999999908,止盈
2023-04-19 16:15:00,2023-04-19 17:15:00,1991.42,1971.5058000000001,short,199.14199999999937,止盈
